,Complaint ID,Day_received,Response_time,Product_num,State_num,Timely_response_bin,Company_response_num,Consumer_disputed_num,Issue_num,Company_num
51,1178003,1,0,2,39,1,1,1,4,16
52,1178004,1,0,1,7,1,1,2,4,392
53,1178005,1,6,1,7,1,1,0,4,1016
54,1178008,1,0,1,13,1,1,1,2,64
55,1178009,1,0,1,40,1,1,1,4,4
56,1178011,1,6,1,35,1,1,0,4,1016
57,1178013,1,0,7,8,1,1,0,5,2
58,1178014,1,0,2,40,1,1,0,4,934
59,1178015,1,0,5,25,1,1,1,4,237
60,1178016,1,0,5,33,1,1,0,4,90
61,1178017,1,0,1,8,1,1,2,2,567
62,1178018,1,7,7,44,1,1,2,5,215
63,1178021,1,0,2,48,1,1,2,4,934
64,1178024,1,0,1,24,1,2,0,2,396
65,1178027,1,6,1,8,1,4,0,4,481
66,1178032,1,0,3,42,1,2,1,1,2049
67,1178033,1,0,5,56,1,4,2,4,184
68,1178038,1,0,3,13,1,1,1,4,2049
69,1178039,1,6,3,13,1,1,1,4,1940
70,1178044,1,0,3,8,1,1,0,1,9
71,1178045,1,0,3,8,1,1,0,1,57
72,1178047,1,6,1,8,1,1,0,2,38
73,1178048,1,0,10,8,1,1,0,4,30
74,1178050,1,0,4,33,1,1,2,4,567
75,1178051,1,0,2,53,1,2,2,4,1430
76,1178052,1,0,2,8,1,1,0,4,41
77,1178053,1,0,4,11,1,1,2,4,567
78,1178054,1,0,3,11,1,1,0,1,2049
79,1178057,1,0,7,11,1,1,0,5,1272
80,1178060,1,0,2,44,1,1,2,4,7
81,1178061,1,0,2,8,1,4,1,4,934
82,1178062,1,0,5,8,1,1,1,0,1430
83,1178063,1,0,1,13,1,2,0,2,50
84,1178064,1,0,3,41,1,1,0,1,1525
85,1178065,1,0,3,41,1,1,0,1,2049
86,1178066,1,0,3,41,1,1,2,1,1940
87,1178067,1,0,2,8,1,5,0,4,1272
88,1178086,1,0,4,13,1,4,0,4,481
89,1178088,1,0,2,41,1,1,1,4,91
90,1178089,1,7,1,30,1,1,1,2,1
91,1178103,1,0,6,52,1,2,0,4,1430
92,1178104,1,0,7,20,1,1,0,5,368
93,1178106,2,0,3,37,1,2,0,1,1525
94,1178107,2,0,3,37,1,2,0,1,1940
95,1178109,2,0,3,40,1,2,0,1,1940
96,1178112,2,0,2,7,1,1,1,4,111
97,1178114,2,5,2,28,1,1,2,4,1430
98,1178118,2,5,1,8,1,1,0,4,270
99,1178119,2,6,4,8,1,1,0,4,368
100,1178120,2,6,8,51,0,6,2,4,1
101,1178121,2,6,8,51,0,4,2,4,3
102,1178122,2,4,6,41,1,1,0,3,133
103,1178124,2,0,5,14,1,1,1,4,62
104,1178130,2,0,7,51,1,1,1,5,5
105,1178135,2,0,2,38,1,1,1,4,429
106,1178139,2,5,5,37,1,1,1,0,217
