Complaint ID,Product,Issue,Company,Company response,Timely response?,Consumer disputed?,Day received,Response time
1236525,Debt collection,Cont'd attempts collect debt not owed,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,1,0,42,0
1236527,Bank account or service,Deposits and withdrawals,JPMorgan Chase,Closed with explanation,1,0,42,7
1236528,Mortgage,"Loan modification,collection,foreclosure",Bank of America,Closed with explanation,1,0,42,0
1236530,Debt collection,Taking/threatening an illegal action,"NCC Business Services, Inc.",In progress,0,0,42,0
1236541,Debt collection,Cont'd attempts collect debt not owed,"Debt Recovery Solutions, LLC",Closed with explanation,1,0,42,1
1236550,Mortgage,"Loan servicing, payments, escrow account",Ocwen,In progress,1,0,42,0
1236553,Credit reporting,Unable to get credit report/credit score,Equifax,Closed with explanation,1,1,42,0
1236556,Debt collection,Communication tactics,Creditors Collection Service,Closed with explanation,1,0,42,8
1236557,Debt collection,Disclosure verification of debt,GC Services Limited Partnership,Closed with non-monetary relief,1,0,42,8
1236558,Debt collection,Disclosure verification of debt,Navient,Closed with explanation,1,0,42,7
1236566,Debt collection,Cont'd attempts collect debt not owed,"Credit World Services, Inc",Closed,1,0,42,0
1236567,Mortgage,"Loan modification,collection,foreclosure",Seterus,Closed with explanation,1,0,42,0
1236568,Debt collection,Taking/threatening an illegal action,"Mercantile Adjustment Bureau, LLC",Closed with explanation,1,0,42,0
1236569,Debt collection,Cont'd attempts collect debt not owed,"Jim Bottin Enterprises, Inc",Closed with explanation,1,0,42,7
1236576,Debt collection,Cont'd attempts collect debt not owed,"Trident Asset Management, L.L.C.",Closed with non-monetary relief,1,0,42,2
1236582,Student loan,Can't repay my loan,Discover,Closed with explanation,1,1,42,0
1236584,Credit card,Transaction issue,USAA Savings,Closed with explanation,1,0,42,0
1236588,Debt collection,Improper contact or sharing of info,"Portfolio Recovery Associates, Inc.",Closed with non-monetary relief,1,0,42,0
1236589,Debt collection,Improper contact or sharing of info,GE Capital Retail,Closed with explanation,1,0,42,0
1236592,Mortgage,Other,Wells Fargo,In progress,1,0,42,7
1236596,Mortgage,"Loan modification,collection,foreclosure",Specialized Loan Servicing LLC,Closed with explanation,1,1,41,1
1236598,Mortgage,"Loan modification,collection,foreclosure",Ocwen,Closed with explanation,1,0,41,1
1236599,Consumer loan,Managing the loan or lease,Wells Fargo,Closed with explanation,1,0,41,0
1236629,Bank account or service,Deposits and withdrawals,Bank of America,Closed with explanation,1,0,42,7
1236631,Consumer loan,Taking out the loan or lease,"Risecredit, LLC",In progress,1,0,41,3
1236632,Bank account or service,Deposits and withdrawals,SunTrust Bank,Closed with monetary relief,1,0,42,7
1236633,Bank account or service,"Making/receiving payments, sending money",Bank of America,Closed with explanation,1,0,41,1
1236637,Debt collection,Cont'd attempts collect debt not owed,"Select Portfolio Servicing, Inc",Closed with explanation,1,0,42,7
1236639,Mortgage,Settlement process and costs,Ocwen,Closed with explanation,1,0,41,4
1236640,Mortgage,"Loan modification,collection,foreclosure",Nationstar Mortgage,Closed with explanation,1,1,41,3
1236641,Mortgage,"Loan modification,collection,foreclosure",Nationstar Mortgage,Closed with explanation,1,1,42,8
1236642,Consumer loan,Managing the loan or lease,Wells Fargo,Closed with explanation,1,0,41,0
1236643,Debt collection,Disclosure verification of debt,"United Recovery Group, LLC",Closed with explanation,1,1,42,7
1236644,Credit reporting,Incorrect information on credit report,Experian,Closed with non-monetary relief,1,0,42,7
1236645,Debt collection,Cont'd attempts collect debt not owed,"National Credit Systems,Inc.",Closed with explanation,1,0,42,0
1236646,Money transfers,Money was not available when promised,MoneyGram,Closed with explanation,1,0,42,7
1236647,Bank account or service,Problems caused by my funds being low,Fifth Third Bank,Closed with monetary relief,1,0,42,7
1236650,Mortgage,"Loan modification,collection,foreclosure",Bank of America,In progress,1,0,41,0
1236651,Debt collection,Disclosure verification of debt,The Law Offices of Mitchell D. Bluhm & Associates,Closed with non-monetary relief,1,0,42,8
