Complaint ID,Product,Sub-product,Issue,Sub-issue,State,ZIP code,Company,Company response,Timely response?,Consumer disputed?,Delivery Time
1203526,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,CA,94531,"Linebarger Goggan Blair & Sampson, LLP",Closed with explanation,Yes,,5
1203510,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,CA,95776,JPMorgan Chase,Closed with explanation,Yes,Yes,1
1203492,Debt collection,,Disclosure verification of debt,Not given enough info to verify debt,AL,76549,Holloway Credit Solutions,Closed with explanation,Yes,,1
1203503,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,CA,91791,Citibank,Closed with explanation,Yes,,1
1203497,Payday loan,,Can't contact lender,,TX,77042,"Check into Cash, Inc.",Closed with monetary relief,Yes,,5
1203520,Bank account or service,Checking account,Deposits and withdrawals,,MD,21921,Wells Fargo,Closed with explanation,Yes,,5
1203513,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,DE,19810,"Williams & Fudge, Inc",Closed with explanation,Yes,,5
1203518,Consumer loan,Vehicle loan,Problems when you are unable to pay,,WA,98367,JPMorgan Chase,Closed with explanation,Yes,,1
1203517,Debt collection,,Improper contact or sharing of info,Contacted employer after asked not to,OK,74003,M.A.R.S. Inc.,Closed with explanation,Yes,,5
1203550,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,UT,84060,Zions Bancorporation,Closed with explanation,Yes,,5
1203538,Debt collection,"Other (phone, health club, etc.)",Communication tactics,Frequent or repeated calls,IL,61951,"Diversified Consultants, Inc.",Closed with explanation,Yes,,1
1203530,Debt collection,"Other (phone, health club, etc.)",Communication tactics,Called after sent written cease of comm,TN,37379,"First Heritage Credit, LLC",Closed with non-monetary relief,Yes,Yes,1
1203537,Credit card,,Convenience checks,,OH,43240,Discover,Closed with explanation,Yes,Yes,1
1203536,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,FL,32722,Flagstar Bank,Closed with explanation,Yes,,1
1203534,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",,WI,53090,Seterus,Closed with explanation,Yes,Yes,1
1203549,Debt collection,Credit card,Improper contact or sharing of info,Talked to a third party about my debt,NC,28540,USAA Savings,Closed with non-monetary relief,Yes,Yes,1
1203542,Credit reporting,,Improper use of my credit report,Report improperly shared by CRC,DE,19720,Experian,Closed with non-monetary relief,Yes,,1
1203540,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt is not mine,CA,94587,"HOVG, LLC",Closed with explanation,Yes,,1
1203546,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt was discharged in bankruptcy,WA,98292,"First National Collection Bureau, Inc.",Closed with explanation,Yes,,1
1203543,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,IL,60123,Bank of America,Closed with explanation,Yes,,1
1205172,Credit reporting,,Incorrect information on credit report,Reinserted previously deleted info,CA,90250,Experian,Closed with explanation,Yes,,1
1203598,Debt collection,,Communication tactics,Frequent or repeated calls,TX,77049,TekCollect Inc.,Closed with explanation,Yes,,1
1203574,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,TX,76002,Wells Fargo,Closed with explanation,Yes,,1
1203558,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,TX,79924,"EOS Holdings, Inc.",Closed with explanation,Yes,,1
1203556,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,NC,27592,"The CMI Group, Inc.",Closed with non-monetary relief,Yes,,1
1203573,Credit card,,Transaction issue,,OH,43232,Amex,Closed with explanation,Yes,,1
1203566,Credit reporting,,Incorrect information on credit report,Information is not mine,WI,53559,Equifax,Closed with explanation,Yes,Yes,1
1203561,Bank account or service,Checking account,"Account opening, closing, or management",,FL,32708,Bank of America,Closed with explanation,Yes,,1
